symbol,entry_ts,exit_ts,entry_signal_strength,entry_rsi,tier_n_reason,vol_reason,alloc_usd,strength_reason,exit_motive,realized_usd,entry_price,entry_volume,tier,entry_match_min,exit_price,exit_match_min,matched,pnl_pct,duration_h,win,log_vol,is_orphan
AI/USDT,2026-04-30 04:06:12.313937+00:00,2026-04-30 04:10:46.018787+00:00,22.43,69.3,3,15200000.0,16.0,22.4,PROFIT-LOCK exhausted,0.83,0.0244,15235578.69018,C,0.06958043333333334,0.0244,4.631327933333334,True,0.0,0.076029125,False,7.182858954599316,False
AI/USDT,2026-04-30 09:11:52.720422+00:00,2026-04-30 09:11:55.305671+00:00,21.63,68.13,3,18100000.0,17.0,21.6,ORPHAN_PERIOD_CLOSE,,0.0247,18117162.77088,C,0.07538828333333333,0.0247,0.11847576666666666,True,0.0,0.0007181247222222222,False,7.258090186197905,True
APE/USDT,2026-04-25 11:10:57.275812+00:00,2026-05-01 18:54:16.782878+00:00,19.81,62.54,1,131500000.0,29.0,19.8,ORPHAN_PERIOD_CLOSE,,0.16840000000000002,131540247.625884,A,0.028390799999999997,0.17750000000000002,0.11468266666666667,True,5.40380047505938,151.72208529611112,True,8.119058655087885,True
API3/USDT,2026-04-29 08:04:47.221103+00:00,2026-04-29 08:04:48.117499+00:00,16.29,64.9,3,13900000.0,16.0,16.3,ORPHAN_PERIOD_CLOSE,,0.4016,13929689.948483,C,0.02763243333333333,0.4016,0.04257236666666667,True,0.0,0.0002489988888888889,False,7.143941449865348,True
AR/USDT,2026-05-06 14:26:11.070231+00:00,2026-05-06 16:35:04.890466+00:00,18.89,66.78,3,19900000.0,16.0,18.9,STOP-LOSS,-0.21,2.42,19892058.0586,C,0.29675518333333334,2.55,11.86335775,True,5.371900826446277,2.148283398611111,True,7.298679718129703,False
BIO/USDT,2026-04-29 00:27:25.692769+00:00,2026-04-29 00:27:26.720190+00:00,17.61,66.6,2,28400000.0,52.0,17.6,ORPHAN_PERIOD_CLOSE,,0.0358,28365713.56567,B,0.017755133333333332,0.0358,0.034878816666666666,True,0.0,0.0002853947222222222,False,7.452793713116129,True
CFG/USDT,2026-05-05 17:57:59.985055+00:00,2026-05-05 17:58:03.291231+00:00,26.32,75.12,3,10100000.0,16.0,26.3,ORPHAN_PERIOD_CLOSE,,0.24580000000000002,10084154.97355,C,0.19365971666666668,0.24580000000000002,0.24876265,True,0.0,0.0009183822222222222,False,7.003639511304333,True
DASH/USDT,2026-05-02 02:32:27.530521+00:00,2026-05-02 04:12:27.792713+00:00,22.73,71.63,3,14300000.0,16.0,22.7,STOP-LOSS,-0.41,37.85,14341135.98514,C,0.10867990000000001,37.08,8.474483366666666,True,-2.034346103038317,1.6667394977777779,False,7.156583553879737,False
DOGE/USDT,2026-04-29 07:34:16.464959+00:00,2026-04-29 15:36:12.577020+00:00,23.91,72.7,1,124400000.0,26.0,23.9,STOP-LOSS,-0.73,0.1044,124378682.33204,A,0.015257033333333333,0.10362,6.009103233333334,True,-0.747126436781612,8.032253350277777,False,8.094745951585438,False
DOGE/USDT,2026-04-30 01:02:38.924028+00:00,2026-04-30 01:02:41.389496+00:00,16.88,64.88,1,306700000.0,26.0,16.9,ORPHAN_PERIOD_CLOSE,,0.10827,306725816.77114,A,0.09245115000000001,0.10827,0.13354228333333334,True,0.0,0.0006848522222222222,False,8.48675033160485,True
DOGE/USDT,2026-04-30 09:42:29.725322+00:00,2026-04-30 09:42:32.508987+00:00,16.57,64.79,1,272300000.0,26.0,16.6,ORPHAN_PERIOD_CLOSE,,0.10798,272330366.13687,A,0.0948118,0.10798,0.14120621666666666,True,0.0,0.0007732402777777778,False,8.43509606994958,True
ICP/USDT,2026-05-05 23:02:37.969908+00:00,2026-05-06 00:25:54.039436+00:00,33.83,81.59,3,18200000.0,16.0,33.8,TRAILING-STOP,0.02,2.663,18161259.26334,C,0.24696456666666666,2.652,8.564183883333333,True,-0.4130679684566157,1.387797091111111,False,7.259145958290752,False
KNC/USDT,2026-05-02 10:41:10.588713+00:00,2026-05-02 13:06:48.787389+00:00,21.33,68.04,3,7400000.0,15.0,21.3,TRAILING-STOP,-0.02,0.16110000000000002,7358181.36911,C,0.09853426666666666,0.1618,10.530955033333333,True,0.43451272501550486,2.42727741,True,6.866770488392213,False
LUMIA/USDT,2026-04-27 19:03:19.966827+00:00,2026-04-28 18:46:26.407907+00:00,29.17,76.76,3,11100000.0,17.0,29.2,GAIN_SATURATION,,0.17250000000000001,11064159.252221,C,0.15183385,0.1764,117.64285576666666,True,2.2608695652173836,23.718455855555558,True,7.043918418173476,False
LUNC/USDT,2026-04-27 20:28:58.519810+00:00,2026-04-28 02:25:25.541509+00:00,29.9,76.9,2,31900000.0,53.0,29.9,GAIN_SATURATION,,6.51e-05,31942908.7822074,B,0.014593333333333335,6.656e-05,9.597667900000001,True,2.2427035330261185,5.940839360833333,True,7.504374461287191,False
LUNC/USDT,2026-04-28 02:35:02.909225+00:00,2026-04-29 02:29:24.616249+00:00,28.2,76.2,2,32000000.0,54.0,28.2,ORPHAN_PERIOD_CLOSE,,6.656e-05,32027431.68225974,B,0.025127366666666668,6.605e-05,0.015573833333333334,True,-0.7662259615384517,23.90602972888889,False,7.505522113470439,True
LUNC/USDT,2026-04-29 08:35:17.388212+00:00,2026-04-29 08:35:18.325801+00:00,16.17,64.17,3,18000000.0,16.0,16.2,ORPHAN_PERIOD_CLOSE,,6.657000000000001e-05,17951090.81499714,C,0.014505483333333334,6.657000000000001e-05,0.030131966666666666,True,0.0,0.0002604413888888889,False,7.254090844030787,True
LUNC/USDT,2026-04-30 01:02:38.924028+00:00,2026-04-30 01:02:42.059636+00:00,17.65,65.65,2,20100000.0,23.0,17.6,ORPHAN_PERIOD_CLOSE,,6.969e-05,20111602.5568978,B,0.09245115000000001,6.969e-05,0.14471128333333333,True,0.0,0.0008710022222222222,False,7.3034466779506895,True
LUNC/USDT,2026-04-30 08:10:46.116980+00:00,2026-04-30 08:10:46.948798+00:00,17.59,65.59,3,19800000.0,16.0,17.6,ORPHAN_PERIOD_CLOSE,,7.000000000000001e-05,19830858.05722682,C,0.07652136666666666,7.000000000000001e-05,0.090385,True,0.0,0.00023106055555555555,False,7.297341506008459,True
