symbol,skip_at,distance_pct_at_skip,price_at_skip,ema20_at_skip,check_price_24h,hours_to_check,delta_24h_pct,peak_24h_pct,verdict,notes
SPK/USDT,2026-04-23 19:38:17,22.20,,,,0.0,,,pre-47a (no baseline),no_baseline
SPK/USDT,2026-04-23 19:38:17,22.20,,,,0.0,,,pre-47a (no baseline),no_baseline
MET/USDT,2026-04-23 19:38:17,20.30,,,,0.0,,,pre-47a (no baseline),no_baseline
HUMA/USDT,2026-04-23 19:46:35,13.82,,,,0.0,,,pre-47a (no baseline),no_baseline
MOVR/USDT,2026-04-23 19:46:35,31.12,,,,0.0,,,pre-47a (no baseline),no_baseline
HUMA/USDT,2026-04-23 22:22:14,16.00,,,,0.0,,,pre-47a (no baseline),no_baseline
SENT/USDT,2026-04-23 22:22:14,15.78,,,,0.0,,,pre-47a (no baseline),no_baseline
MOVR/USDT,2026-04-23 22:22:14,28.61,,,,0.0,,,pre-47a (no baseline),no_baseline
HUMA/USDT,2026-04-24 00:44:52,17.33,,,,0.0,,,pre-47a (no baseline),no_baseline
SENT/USDT,2026-04-24 00:44:52,11.57,,,,0.0,,,pre-47a (no baseline),no_baseline
LUNC/USDT,2026-04-24 01:45:23,18.36,,,,0.0,,,pre-47a (no baseline),no_baseline
HUMA/USDT,2026-04-24 01:45:23,13.80,,,,0.0,,,pre-47a (no baseline),no_baseline
SENT/USDT,2026-04-24 01:45:24,11.06,,,,0.0,,,pre-47a (no baseline),no_baseline
LUNC/USDT,2026-04-24 02:45:51,15.95,,,,0.0,,,pre-47a (no baseline),no_baseline
HUMA/USDT,2026-04-24 02:45:51,13.65,,,,0.0,,,pre-47a (no baseline),no_baseline
SENT/USDT,2026-04-24 02:45:51,10.03,,,,0.0,,,pre-47a (no baseline),no_baseline
LUNC/USDT,2026-04-24 05:00:27,14.60,,,,0.0,,,pre-47a (no baseline),no_baseline
HUMA/USDT,2026-04-24 05:00:27,10.66,,,,0.0,,,pre-47a (no baseline),no_baseline
GLMR/USDT,2026-04-24 05:00:27,24.60,,,,0.0,,,pre-47a (no baseline),no_baseline
SPK/USDT,2026-04-24 05:00:28,12.75,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 06:39:32,31.74,,,,0.0,,,pre-47a (no baseline),no_baseline
HUMA/USDT,2026-04-24 06:39:33,13.23,,,,0.0,,,pre-47a (no baseline),no_baseline
LUNC/USDT,2026-04-24 06:39:33,10.45,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 06:39:33,31.74,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 09:00:42,35.89,,,,0.0,,,pre-47a (no baseline),no_baseline
LUNC/USDT,2026-04-24 09:00:42,10.67,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 09:00:42,35.89,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 10:01:12,48.88,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 10:01:12,48.88,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 10:14:53,55.04,,,,0.0,,,pre-47a (no baseline),no_baseline
DYDX/USDT,2026-04-24 10:14:54,12.18,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 10:14:54,55.04,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 11:15:25,48.08,,,,0.0,,,pre-47a (no baseline),no_baseline
HUMA/USDT,2026-04-24 11:15:25,10.31,,,,0.0,,,pre-47a (no baseline),no_baseline
DYDX/USDT,2026-04-24 11:15:25,12.08,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 11:15:26,48.08,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 12:15:55,54.58,,,,0.0,,,pre-47a (no baseline),no_baseline
ESP/USDT,2026-04-24 12:15:55,10.66,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 12:15:56,54.58,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 13:16:26,64.46,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 13:16:26,64.46,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 14:16:56,65.57,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 14:16:56,65.57,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 15:17:25,64.35,,,,0.0,,,pre-47a (no baseline),no_baseline
HUMA/USDT,2026-04-24 15:17:26,11.85,,,,0.0,,,pre-47a (no baseline),no_baseline
KAT/USDT,2026-04-24 15:17:26,64.35,,,,0.0,,,pre-47a (no baseline),no_baseline
