symbol,threshold_pct,trades,win_rate_pct,total_net_pnl
AAVE/USDT,10.0,35,28.6,-12.17
AAVE/USDT,12.0,35,28.6,-12.17
AAVE/USDT,15.0,35,28.6,-12.17
AAVE/USDT,17.0,35,28.6,-12.17
AAVE/USDT,20.0,35,28.6,-12.17
AAVE/USDT,25.0,35,28.6,-12.17
ADA/USDT,10.0,35,22.9,-14.34
ADA/USDT,12.0,35,22.9,-14.34
ADA/USDT,15.0,35,22.9,-14.34
ADA/USDT,17.0,35,22.9,-14.34
ADA/USDT,20.0,35,22.9,-14.34
ADA/USDT,25.0,35,22.9,-14.34
ALGO/USDT,10.0,41,39.0,-0.33
ALGO/USDT,12.0,41,39.0,-0.33
ALGO/USDT,15.0,41,39.0,-0.33
ALGO/USDT,17.0,41,39.0,-0.33
ALGO/USDT,20.0,41,39.0,-0.33
ALGO/USDT,25.0,41,39.0,-0.33
ALICE/USDT,10.0,47,27.7,-9.91
ALICE/USDT,12.0,49,24.5,-17.38
ALICE/USDT,15.0,54,25.9,-14.12
ALICE/USDT,17.0,54,25.9,-14.42
ALICE/USDT,20.0,54,25.9,-14.42
ALICE/USDT,25.0,55,29.1,0.26
APE/USDT,10.0,39,30.8,-11.15
APE/USDT,12.0,39,30.8,-11.15
APE/USDT,15.0,39,30.8,-11.15
APE/USDT,17.0,39,30.8,-10.71
APE/USDT,20.0,40,32.5,-8.68
APE/USDT,25.0,40,32.5,-8.68
API3/USDT,10.0,36,30.6,2.67
API3/USDT,12.0,36,30.6,2.77
API3/USDT,15.0,36,30.6,1.82
API3/USDT,17.0,36,30.6,1.82
API3/USDT,20.0,39,30.8,-1.07
API3/USDT,25.0,39,30.8,-0.49
APT/USDT,10.0,32,34.4,-4.29
APT/USDT,12.0,34,35.3,-3.24
APT/USDT,15.0,34,35.3,-3.39
APT/USDT,17.0,34,35.3,-3.39
APT/USDT,20.0,34,35.3,-3.39
APT/USDT,25.0,34,35.3,-3.39
ARB/USDT,10.0,35,37.1,-1.68
ARB/USDT,12.0,35,37.1,-1.68
ARB/USDT,15.0,35,37.1,-1.68
ARB/USDT,17.0,35,37.1,-1.68
ARB/USDT,20.0,35,37.1,-1.68
ARB/USDT,25.0,35,37.1,-1.68
ASTER/USDT,10.0,25,32.0,-5.39
ASTER/USDT,12.0,25,32.0,-5.39
ASTER/USDT,15.0,25,32.0,-5.39
ASTER/USDT,17.0,25,32.0,-5.39
ASTER/USDT,20.0,25,32.0,-5.39
ASTER/USDT,25.0,25,32.0,-5.39
AVAX/USDT,10.0,27,33.3,-3.19
AVAX/USDT,12.0,27,33.3,-3.19
AVAX/USDT,15.0,27,33.3,-3.19
AVAX/USDT,17.0,27,33.3,-3.19
AVAX/USDT,20.0,27,33.3,-3.19
