symbol,cycle_idx,opened_at,closed_at,closed,n_trades,n_positive_sells,actual_pnl_usd,cf_N2_pnl_usd,cf_N2_triggered,cf_N2_delta_usd,cf_N3_pnl_usd,cf_N3_triggered,cf_N3_delta_usd,cf_N4_pnl_usd,cf_N4_triggered,cf_N4_delta_usd,cf_N5_pnl_usd,cf_N5_triggered,cf_N5_delta_usd,cf_N6_pnl_usd,cf_N6_triggered,cf_N6_delta_usd
ORDI/USDT,0,2026-04-15T20:32:56.636474+00:00,2026-04-16T06:34:20.164679+00:00,True,2,1,3.4655,3.4655,False,0.0,3.4655,False,0.0,3.4655,False,0.0,3.4655,False,0.0,3.4655,False,0.0
ORDI/USDT,1,2026-04-16T06:42:23.370457+00:00,2026-04-16T07:00:29.634754+00:00,True,2,1,0.0855,0.0855,False,0.0,0.0855,False,0.0,0.0855,False,0.0,0.0855,False,0.0,0.0855,False,0.0
BIO/USDT,0,2026-04-15T20:32:57.036293+00:00,2026-04-16T06:34:20.163415+00:00,True,2,1,5.3418,5.3418,False,0.0,5.3418,False,0.0,5.3418,False,0.0,5.3418,False,0.0,5.3418,False,0.0
BIO/USDT,1,2026-04-16T07:23:37.19714+00:00,2026-04-16T07:27:39.038187+00:00,True,2,1,0.0816,0.0816,False,0.0,0.0816,False,0.0,0.0816,False,0.0,0.0816,False,0.0,0.0816,False,0.0
BIO/USDT,2,2026-04-16T08:00:50.278902+00:00,2026-04-16T11:13:55.129727+00:00,True,8,4,0.3734,0.2535,True,-0.1199,0.3734,True,-0.0,0.3734,True,0.0,0.3734,False,0.0,0.3734,False,0.0
AXL/USDT,0,2026-04-16T11:19:30.33796+00:00,2026-04-16T11:23:31.586857+00:00,True,2,1,0.3541,0.3541,False,0.0,0.3541,False,0.0,0.3541,False,0.0,0.3541,False,0.0,0.3541,False,0.0
AXL/USDT,1,2026-04-16T11:51:40.714882+00:00,2026-04-16T12:08:46.693724+00:00,True,2,1,0.1453,0.1453,False,0.0,0.1453,False,0.0,0.1453,False,0.0,0.1453,False,0.0,0.1453,False,0.0
AXL/USDT,2,2026-04-16T12:34:54.927169+00:00,2026-04-16T14:55:36.384787+00:00,True,6,3,0.427,0.4912,True,0.0641,0.427,True,-0.0,0.427,False,-0.0,0.427,False,-0.0,0.427,False,-0.0
AXL/USDT,3,2026-04-16T15:05:40.574283+00:00,2026-04-16T15:07:41.483445+00:00,True,2,1,0.2712,0.2712,False,0.0,0.2712,False,0.0,0.2712,False,0.0,0.2712,False,0.0,0.2712,False,0.0
AXL/USDT,4,2026-04-16T15:35:51.246973+00:00,2026-04-16T16:16:05.653919+00:00,True,4,2,0.3199,0.3199,True,0.0,0.3199,False,0.0,0.3199,False,0.0,0.3199,False,0.0,0.3199,False,0.0
AXL/USDT,5,2026-04-16T17:11:23.751035+00:00,2026-04-16T17:44:35.567934+00:00,True,2,1,0.1489,0.1489,False,0.0,0.1489,False,0.0,0.1489,False,0.0,0.1489,False,0.0,0.1489,False,0.0
AXL/USDT,6,2026-04-16T17:57:40.132059+00:00,2026-04-16T18:27:50.392841+00:00,True,2,1,0.1495,0.1495,False,0.0,0.1495,False,0.0,0.1495,False,0.0,0.1495,False,0.0,0.1495,False,0.0
AXL/USDT,7,2026-04-16T20:32:32.178135+00:00,2026-04-16T21:26:50.359258+00:00,True,2,1,0.1506,0.1506,False,0.0,0.1506,False,0.0,0.1506,False,0.0,0.1506,False,0.0,0.1506,False,0.0
AXL/USDT,8,2026-04-17T08:26:36.185333+00:00,2026-04-17T08:57:46.870167+00:00,True,2,1,0.1509,0.1509,False,0.0,0.1509,False,0.0,0.1509,False,0.0,0.1509,False,0.0,0.1509,False,0.0
AXL/USDT,9,2026-04-17T09:56:07.059114+00:00,2026-04-17T10:40:51.437244+00:00,True,3,0,-0.3199,-0.3199,False,0.0,-0.3199,False,0.0,-0.3199,False,0.0,-0.3199,False,0.0,-0.3199,False,0.0
MBOX/USDT,0,2026-04-16T11:19:30.50271+00:00,2026-04-16T11:20:31.040285+00:00,True,2,1,0.3225,0.3225,False,0.0,0.3225,False,0.0,0.3225,False,0.0,0.3225,False,0.0,0.3225,False,0.0
MBOX/USDT,1,2026-04-16T11:49:40.013296+00:00,2026-04-16T11:56:42.63167+00:00,True,2,1,0.2769,0.2769,False,0.0,0.2769,False,0.0,0.2769,False,0.0,0.2769,False,0.0,0.2769,False,0.0
MBOX/USDT,2,2026-04-16T12:19:50.092027+00:00,2026-04-16T12:20:50.822351+00:00,True,2,1,0.2097,0.2097,False,0.0,0.2097,False,0.0,0.2097,False,0.0,0.2097,False,0.0,0.2097,False,0.0
MBOX/USDT,3,2026-04-16T12:50:00.936752+00:00,2026-04-16T12:55:58.877867+00:00,True,4,2,0.4309,0.4309,True,0.0,0.4309,False,0.0,0.4309,False,0.0,0.4309,False,0.0,0.4309,False,0.0
MBOX/USDT,4,2026-04-16T13:23:07.489221+00:00,2026-04-16T13:30:10.122343+00:00,True,2,1,0.214,0.214,False,0.0,0.214,False,0.0,0.214,False,0.0,0.214,False,0.0,0.214,False,0.0
MBOX/USDT,5,2026-04-16T14:00:21.216785+00:00,2026-04-17T10:52:06.663483+00:00,True,18,9,1.6415,0.1987,True,-1.4429,0.3621,True,-1.2794,0.687,True,-0.9545,0.9371,True,-0.7045,0.8025,True,-0.839
MOVR/USDT,0,2026-04-17T10:36:50.8089+00:00,2026-04-17T13:21:52.769954+00:00,True,4,2,2.1857,2.1857,True,0.0,2.1857,False,0.0,2.1857,False,0.0,2.1857,False,0.0,2.1857,False,0.0
MOVR/USDT,1,2026-04-17T13:22:53.943245+00:00,2026-04-17T13:46:02.496989+00:00,True,2,1,1.4606,1.4606,False,0.0,1.4606,False,0.0,1.4606,False,0.0,1.4606,False,0.0,1.4606,False,0.0
MOVR/USDT,2,2026-04-17T14:11:11.621453+00:00,2026-04-17T14:35:19.830461+00:00,True,2,1,1.0575,1.0575,False,0.0,1.0575,False,0.0,1.0575,False,0.0,1.0575,False,0.0,1.0575,False,0.0
MOVR/USDT,3,2026-04-17T14:41:22.942484+00:00,2026-04-18T06:43:59.800997+00:00,True,8,0,-16.9363,-16.9363,False,0.0,-16.9363,False,0.0,-16.9363,False,0.0,-16.9363,False,0.0,-16.9363,False,0.0
