symbol,period_idx,opened_at,closed_at,closed,n_trades,n_positive_sells,actual_pnl_usd,cf_N2_pnl_usd,cf_N2_triggered,cf_N2_delta_usd,cf_N3_pnl_usd,cf_N3_triggered,cf_N3_delta_usd,cf_N4_pnl_usd,cf_N4_triggered,cf_N4_delta_usd,cf_N5_pnl_usd,cf_N5_triggered,cf_N5_delta_usd,cf_N6_pnl_usd,cf_N6_triggered,cf_N6_delta_usd,cf_N7_pnl_usd,cf_N7_triggered,cf_N7_delta_usd,cf_N8_pnl_usd,cf_N8_triggered,cf_N8_delta_usd,detail_N4_residual_qty,detail_N4_residual_avg_buy,detail_N4_exit_price,detail_N4_liq_value_usd,detail_N4_liq_pnl_usd
ORDI/USDT,0,2026-04-15T20:32:56.636474+00:00,2026-04-16T07:00:29.634754+00:00,True,4,2,3.551,3.551,True,0.0,3.551,False,0.0,3.551,False,0.0,3.551,False,0.0,3.551,False,0.0,3.551,False,0.0,3.551,False,0.0,,,,,
BIO/USDT,0,2026-04-15T20:32:57.036293+00:00,2026-04-16T11:13:55.129727+00:00,True,12,6,5.7968,5.4234,True,-0.3734,5.5795,True,-0.2173,5.6769,True,-0.1199,5.7968,True,-0.0,5.7968,True,-0.0,5.7968,False,-0.0,5.7968,False,-0.0,159.5,0.03665205,0.0368,5.8696,0.0236
AXL/USDT,0,2026-04-16T11:19:30.33796+00:00,2026-04-17T10:40:51.437244+00:00,True,27,12,1.7976,0.4994,True,-1.2982,0.3483,True,-1.4493,0.9906,True,-0.807,0.9265,True,-0.8711,1.1977,True,-0.5999,1.4641,True,-0.3335,1.5176,True,-0.28,206.27,0.05938061,0.0604,12.4587,0.2103
MBOX/USDT,0,2026-04-16T11:19:30.50271+00:00,2026-04-17T10:52:06.663483+00:00,True,30,15,3.0955,0.5994,True,-2.4961,0.8091,True,-2.2864,1.2985,True,-1.797,1.24,True,-1.8555,1.454,True,-1.6415,1.5596,True,-1.5359,1.6526,True,-1.4429,771.6,0.0160486,0.0163,12.5771,0.194
MOVR/USDT,0,2026-04-17T10:36:50.8089+00:00,2026-04-18T07:00:55.779905+00:00,True,19,4,-13.3861,2.1857,True,15.5718,3.6463,True,17.0324,4.7038,True,18.0899,-13.3861,False,0.0,-13.3861,False,0.0,-13.3861,False,0.0,-13.3861,False,0.0,0.0,3.69,4.008,0.0,0.0
TST/USDT,0,2026-04-17T10:53:06.727226+00:00,2026-04-19T11:28:52.302649+00:00,True,23,7,-2.361,1.8096,True,4.1706,2.4343,True,4.7953,0.8833,True,3.2443,2.7751,True,5.1361,1.5797,True,3.9407,-2.361,True,0.0,-2.361,False,0.0,2904.1,0.01262023,0.01204,34.9654,-1.6851
HIGH/USDT,0,2026-04-18T07:13:37.083113+00:00,2026-04-18T12:26:31.749781+00:00,True,21,6,0.4625,1.8561,True,1.3936,3.3295,True,2.867,3.7367,True,3.2741,4.444,True,3.9815,5.6796,True,5.2171,0.4625,False,0.0,0.4625,False,0.0,0.0,0.39573359,0.455,0.0,0.0
API3/USDT,0,2026-04-18T12:47:17.550248+00:00,2026-04-19T00:46:39.261336+00:00,True,13,5,3.4043,2.0759,True,-1.3284,3.5644,True,0.16,4.1585,True,0.7542,3.4043,True,0.0,3.4043,False,0.0,3.4043,False,0.0,3.4043,False,0.0,75.18,0.40495704,0.4174,31.3801,0.9355
PHB/USDT,0,2026-04-19T00:45:27.654443+00:00,,False,33,10,1.0145,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUR/USDT,0,2026-04-19T11:25:16.759168+00:00,2026-04-20T07:08:14.674473+00:00,True,20,6,-1.1663,2.6024,True,3.7687,2.6359,True,3.8022,3.9989,True,5.1652,4.1265,True,5.2928,4.2345,True,5.4008,-1.1663,False,0.0,-1.1663,False,0.0,769.5,0.03307678,0.03418,26.3015,0.8489
BOME/USDT,0,2026-04-19T16:00:58.483808+00:00,2026-04-19T16:22:05.743013+00:00,True,2,0,-2.4605,-2.4605,False,0.0,-2.4605,False,0.0,-2.4605,False,0.0,-2.4605,False,0.0,-2.4605,False,0.0,-2.4605,False,0.0,-2.4605,False,0.0,,,,,
TRX/USDT,0,2026-04-19T17:01:23.87029+00:00,2026-04-20T03:07:50.728673+00:00,True,2,0,-0.0867,-0.0867,False,0.0,-0.0867,False,0.0,-0.0867,False,0.0,-0.0867,False,0.0,-0.0867,False,0.0,-0.0867,False,0.0,-0.0867,False,0.0,,,,,
SPK/USDT,0,2026-04-20T03:06:20.473622+00:00,2026-04-20T07:42:56.821965+00:00,True,10,1,-1.2171,-1.2171,False,0.0,-1.2171,False,0.0,-1.2171,False,0.0,-1.2171,False,0.0,-1.2171,False,0.0,-1.2171,False,0.0,-1.2171,False,0.0,,,,,
SPK/USDT,1,2026-04-23T00:45:39.853332+00:00,2026-04-24T03:32:00.038375+00:00,True,50,14,1.6837,5.5373,True,3.8536,5.87,True,4.1863,5.9678,True,4.2841,6.0043,True,4.3206,6.1516,True,4.4679,6.2366,True,4.5529,6.3282,True,4.6445,0.0,0.053441,0.054065,0.0,0.0
CFG/USDT,0,2026-04-20T08:08:42.507133+00:00,2026-04-20T12:59:25.58202+00:00,True,8,0,-1.3467,-1.3467,False,0.0,-1.3467,False,0.0,-1.3467,False,0.0,-1.3467,False,0.0,-1.3467,False,0.0,-1.3467,False,0.0,-1.3467,False,0.0,,,,,
SUPER/USDT,0,2026-04-20T08:08:42.538312+00:00,2026-04-20T15:04:00.390112+00:00,True,8,1,-0.7548,-0.7548,False,0.0,-0.7548,False,0.0,-0.7548,False,0.0,-0.7548,False,0.0,-0.7548,False,0.0,-0.7548,False,0.0,-0.7548,False,0.0,,,,,
GUN/USDT,0,2026-04-20T13:58:44.222474+00:00,2026-04-21T07:56:46.15816+00:00,True,16,4,0.2995,1.9217,True,1.6223,2.4737,True,2.1742,2.909,True,2.6095,0.2995,False,0.0,0.2995,False,0.0,0.2995,False,0.0,0.2995,False,0.0,0.0,0.02566,0.02683,0.0,0.0
CHZ/USDT,0,2026-04-20T16:02:21.341078+00:00,2026-04-22T01:58:07.460007+00:00,True,14,6,2.3035,1.8771,True,-0.4264,1.9644,True,-0.3392,2.5829,True,0.2794,2.6236,True,0.3201,2.3035,True,0.0,2.3035,False,0.0,2.3035,False,0.0,206.0,0.047475,0.04902,10.0981,0.3183
EDU/USDT,0,2026-04-20T22:07:23.487034+00:00,2026-04-21T10:45:02.312786+00:00,True,10,2,1.4863,3.3401,True,1.8537,1.4863,False,0.0,1.4863,False,0.0,1.4863,False,0.0,1.4863,False,0.0,1.4863,False,0.0,1.4863,False,0.0,,,,,
XLM/USDT,0,2026-04-21T08:37:07.776983+00:00,2026-04-22T03:57:19.937002+00:00,True,2,0,-0.2505,-0.2505,False,0.0,-0.2505,False,0.0,-0.2505,False,0.0,-0.2505,False,0.0,-0.2505,False,0.0,-0.2505,False,0.0,-0.2505,False,0.0,,,,,
MET/USDT,0,2026-04-22T01:53:03.371813+00:00,2026-04-23T00:02:20.533857+00:00,True,32,12,-4.4709,-4.304,True,0.167,-4.1564,True,0.3145,-3.9922,True,0.4787,-3.8575,True,0.6134,-3.7168,True,0.7542,-3.5494,True,0.9215,-3.3476,True,1.1233,0.0,0.1897,0.1932,0.0,0.0
RUNE/USDT,0,2026-04-22T02:53:25.383443+00:00,2026-04-24T19:20:39.124265+00:00,True,14,6,1.0647,0.8697,True,-0.195,0.9951,True,-0.0696,1.1221,True,0.0574,0.984,True,-0.0807,1.2754,True,0.2107,1.0647,False,0.0,1.0647,False,0.0,0.0,0.492,0.5,0.0,0.0
STRK/USDT,0,2026-04-23T10:57:23.309249+00:00,2026-04-23T13:01:53.774671+00:00,True,2,0,-0.4319,-0.4319,False,0.0,-0.4319,False,0.0,-0.4319,False,0.0,-0.4319,False,0.0,-0.4319,False,0.0,-0.4319,False,0.0,-0.4319,False,0.0,,,,,
KAT/USDT,0,2026-04-23T13:15:10.584573+00:00,2026-04-24T06:24:08.625461+00:00,True,26,9,0.8374,-0.0373,True,-0.8747,0.1945,True,-0.6429,0.6234,True,-0.214,0.7618,True,-0.0756,0.8549,True,0.0174,1.1683,True,0.3309,1.3682,True,0.5307,0.0,0.01414281,0.01543,0.0,0.0
GALA/USDT,0,2026-04-25T01:22:56.328487+00:00,2026-04-25T05:22:23.066447+00:00,True,6,2,0.8032,0.9188,True,0.1156,0.8032,False,0.0,0.8032,False,0.0,0.8032,False,0.0,0.8032,False,0.0,0.8032,False,0.0,0.8032,False,0.0,,,,,
D/USDT,0,2026-04-25T08:09:50.851378+00:00,2026-04-25T11:04:56.449819+00:00,True,6,2,0.8405,0.9698,True,0.1293,0.8405,False,0.0,0.8405,False,0.0,0.8405,False,0.0,0.8405,False,0.0,0.8405,False,0.0,0.8405,False,0.0,,,,,
APE/USDT,0,2026-04-25T11:11:24.050635+00:00,2026-04-25T21:33:13.603278+00:00,True,6,0,-3.3948,-3.3948,False,0.0,-3.3948,False,0.0,-3.3948,False,0.0,-3.3948,False,0.0,-3.3948,False,0.0,-3.3948,False,0.0,-3.3948,False,0.0,,,,,
ALGO/USDT,0,2026-04-25T18:20:44.412569+00:00,,False,11,5,0.7755,,,,,,,,,,,,,,,,,,,,,,,,,,
LDO/USDT,0,2026-04-26T23:49:24.961315+00:00,2026-04-27T06:05:51.100574+00:00,True,12,3,-0.7161,0.8759,True,1.592,1.056,True,1.7721,-0.7161,False,0.0,-0.7161,False,0.0,-0.7161,False,0.0,-0.7161,False,0.0,-0.7161,False,0.0,,,,,
PENGU/USDT,0,2026-04-27T06:26:07.44449+00:00,,False,10,4,1.116,,,,,,,,,,,,,,,,,,,,,,,,,,
